============================= test session starts =============================
platform win32 -- Python 3.11.9, pytest-9.1.1, pluggy-1.6.0 -- C:\Program Files\Python311\python.exe
cachedir: .pytest_cache
rootdir: c:\Users\Administrator\Documents\Psiphon 3X-UI
configfile: pytest.ini (WARNING: ignoring pytest config in pyproject.toml!)
plugins: anyio-4.14.1, asyncio-1.4.0, respx-0.23.1
tests/test_psiphon.py::TestRenderConfig::test_invalid_inputs_raise_value_error[-1080] PASSED [ 32%]
tests/test_psiphon.py::TestRenderConfig::test_remote_server_list_is_a_list_copy PASSED [ 33%]
tests/test_psiphon.py::TestWriteConfig::test_writes_parsable_json PASSED [ 33%]
tests/test_psiphon.py::TestWriteConfig::test_country_code_uppercased_in_filename PASSED [ 34%]
tests/test_psiphon.py::TestWriteConfig::test_creates_config_dir_if_missing PASSED [ 34%]
tests/test_psiphon.py::TestWriteConfig::test_overwrites_existing_file PASSED [ 35%]
tests/test_psiphon.py::test_unit_name_format PASSED                      [ 35%]
tests/test_psiphon.py::test_unit_name_rejects_invalid_codes PASSED       [ 36%]
tests/test_psiphon.py::TestStartStopRestart::test_start_invokes_systemctl_start_with_unit_name PASSED [ 36%]
tests/test_psiphon.py::TestStartStopRestart::test_stop_invokes_systemctl_stop PASSED [ 37%]
tests/test_psiphon.py::TestStartStopRestart::test_restart_invokes_systemctl_restart PASSED [ 37%]
tests/test_psiphon.py::TestStartStopRestart::test_nonzero_exit_raises_psiphon_unit_error PASSED [ 38%]
tests/test_psiphon.py::TestStartStopRestart::test_systemctl_missing_returns_psiphon_unit_error PASSED [ 38%]
tests/test_psiphon.py::TestStartStopRestart::test_timeout_raises_psiphon_unit_error PASSED [ 39%]
tests/test_psiphon.py::TestIsActive::test_active_unit_returns_true PASSED [ 39%]
tests/test_psiphon.py::TestIsActive::test_inactive_returns_false_without_raising PASSED [ 40%]
tests/test_psiphon.py::TestIsActive::test_failed_unit_returns_false PASSED [ 40%]
tests/test_psiphon.py::TestHealthProbe::test_healthy_describes_selected_method PASSED [ 41%]
tests/test_psiphon.py::TestHealthProbe::test_sends_socks5_greeting PASSED [ 41%]
tests/test_psiphon.py::TestHealthProbe::test_connect_refused_is_unhealthy PASSED [ 42%]
tests/test_psiphon.py::TestHealthProbe::test_sendall_failure_is_unhealthy PASSED [ 42%]
tests/test_psiphon.py::TestHealthProbe::test_recv_failure_is_unhealthy PASSED [ 43%]
tests/test_psiphon.py::TestHealthProbe::test_short_greeting_is_unhealthy PASSED [ 43%]
tests/test_psiphon.py::TestHealthProbe::test_wrong_socks_version_unhealthy PASSED [ 44%]
tests/test_psiphon.py::TestHealthProbe::test_no_acceptable_methods_unhealthy PASSED [ 44%]
tests/test_psiphon.py::TestHealthProbe::test_invalid_port_returns_unhealthy_without_opening_socket PASSED [ 45%]
tests/test_psiphon.py::TestHealthProbe::test_socket_closed_even_on_failure PASSED [ 45%]
tests/test_psiphon.py::test_health_probe_result_is_frozen PASSED         [ 46%]
tests/test_psiphon.py::test_health_probe_result_default_detail_empty PASSED [ 46%]
tests/test_seed.py::test_seed_creates_singleton_settings_row_with_bcrypt_hash PASSED [ 47%]
tests/test_seed.py::test_seed_is_idempotent_and_resets_credentials PASSED [ 47%]
tests/test_seed.py::test_seed_populates_country_table_from_yaml PASSED   [ 48%]
tests/test_seed.py::test_seed_releases_db_file_after_return PASSED       [ 48%]
tests/test_skeleton.py::test_countries_yaml_is_valid PASSED              [ 49%]
tests/test_skeleton.py::test_health_endpoint PASSED                      [ 49%]
tests/test_skeleton.py::test_list_countries_endpoint PASSED              [ 50%]
tests/test_skeleton.py::test_countries_endpoint_count_matches_yaml PASSED [ 50%]
tests/test_skeleton.py::test_auth_primitives_round_trip PASSED           [ 51%]
tests/test_wizard.py::test_wizard_state_unauthenticated_returns_401 PASSED [ 51%]
tests/test_wizard.py::test_wizard_state_fresh_starts_on_countries PASSED [ 52%]
tests/test_wizard.py::test_countries_all_mode_happy PASSED               [ 52%]
tests/test_wizard.py::test_countries_specific_mode_normalises_and_dedupes[codes_in0-expected0] PASSED [ 53%]
tests/test_wizard.py::test_countries_specific_mode_normalises_and_dedupes[codes_in1-expected1] PASSED [ 53%]
tests/test_wizard.py::test_countries_specific_mode_normalises_and_dedupes[codes_in2-expected2] PASSED [ 54%]
tests/test_wizard.py::test_countries_specific_mode_normalises_and_dedupes[codes_in3-expected3] PASSED [ 54%]
tests/test_wizard.py::test_countries_specific_mode_normalises_and_dedupes[codes_in4-expected4] PASSED [ 55%]
tests/test_wizard.py::test_countries_specific_empty_codes_returns_400 PASSED [ 55%]
tests/test_wizard.py::test_countries_specific_unknown_codes_returns_400 PASSED [ 56%]
tests/test_wizard.py::test_countries_all_with_codes_returns_400 PASSED   [ 56%]
tests/test_wizard.py::test_countries_invalid_mode_returns_422 PASSED     [ 57%]
tests/test_wizard.py::test_wizard_rejects_ports_step_before_countries_done PASSED [ 57%]
tests/test_wizard.py::test_wizard_cannot_jump_back_to_countries_after_ports_done PASSED [ 58%]
tests/test_wizard.py::test_ports_happy_explicit_ranges PASSED            [ 58%]
tests/test_wizard.py::test_ports_overlap_socks_public_returns_400 PASSED [ 59%]
tests/test_wizard.py::test_ports_includes_panel_port_returns_400 PASSED  [ 59%]
tests/test_wizard.py::test_ports_one_per_country_requires_enough_ports PASSED [ 60%]
tests/test_wizard.py::test_ports_shared_range_allows_smaller_range PASSED [ 60%]
tests/test_wizard.py::test_ports_invalid_assignment_returns_422 PASSED   [ 61%]
tests/test_wizard.py::test_ports_range_end_lt_start_returns_422 PASSED   [ 61%]
tests/test_wizard.py::test_ports_busy_port_in_range_returns_400 PASSED   [ 62%]
tests/test_wizard.py::test_ports_smart_recommendation_path PASSED        [ 62%]
tests/test_wizard.py::test_countries_endpoint_unauthenticated_returns_401 PASSED [ 63%]
tests/test_wizard.py::test_ports_endpoint_unauthenticated_returns_401 PASSED [ 63%]
tests/test_wizard_apply.py::TestComputePortAssignments::test_one_per_country_happy PASSED [ 64%]
tests/test_wizard_apply.py::TestComputePortAssignments::test_shared_range_happy PASSED [ 64%]
tests/test_wizard_apply.py::TestComputePortAssignments::test_one_per_country_arity_mismatch_raises PASSED [ 65%]
tests/test_wizard_apply.py::TestComputePortAssignments::test_shared_range_insufficient_socks_raises PASSED [ 65%]
tests/test_wizard_apply.py::TestComputePortAssignments::test_invalid_assignment_raises PASSED [ 66%]
tests/test_wizard_apply.py::TestComputePortAssignments::test_empty_codes_returns_empty PASSED [ 66%]
tests/test_wizard_apply.py::TestApplyCountry::test_happy_path_emits_healthy_event PASSED [ 67%]
tests/test_wizard_apply.py::TestApplyCountry::test_write_config_failure_returns_failed_not_raises PASSED [ 67%]
tests/test_wizard_apply.py::TestApplyCountry::test_start_unit_failure_returns_failed PASSED [ 68%]
tests/test_wizard_apply.py::TestApplyCountry::test_is_active_false_returns_failed_50 PASSED [ 68%]
tests/test_wizard_apply.py::TestApplyCountry::test_unhealthy_probe_returns_failed_75 PASSED [ 69%]
tests/test_wizard_apply.py::TestOrchestratorEvents::test_three_specs_yields_three_events_in_order PASSED [ 69%]
tests/test_wizard_apply.py::TestOrchestratorEvents::test_failure_mid_list_does_not_short_circuit PASSED [ 70%]
tests/test_wizard_apply.py::test_apply_event_as_dict_shape PASSED        [ 70%]
tests/test_wizard_apply.py::TestApplyEndpoint::test_apply_happy_stream_emits_per_country_then_done PASSED [ 71%]
tests/test_wizard_apply.py::TestApplyEndpoint::test_apply_emits_working_then_terminal_for_each_country PASSED [ 71%]
tests/test_wizard_apply.py::TestApplyEndpoint::test_apply_persists_port_assignment_rows PASSED [ 72%]
tests/test_wizard_apply.py::TestApplyEndpoint::test_apply_out_of_order_returns_409 PASSED [ 72%]
tests/test_wizard_apply.py::TestApplyEndpoint::test_apply_unauthenticated_returns_401 PASSED [ 73%]
tests/test_wizard_clone.py::TestCloneDataclasses::test_clone_spec_is_frozen PASSED [ 73%]
tests/test_wizard_clone.py::TestCloneDataclasses::test_clone_event_as_dict_shape PASSED [ 74%]
tests/test_wizard_clone.py::TestCloneDataclasses::test_clone_event_failed_has_null_inbound_id PASSED [ 74%]
tests/test_wizard_clone.py::TestCloneDataclasses::test_clone_record_row_fields PASSED [ 75%]
tests/test_wizard_clone.py::TestCloneCountry::test_happy_returns_cloned_event_with_inbound_id PASSED [ 75%]
tests/test_wizard_clone.py::TestCloneCountry::test_xui_client_error_returns_failed_progress_0 PASSED [ 76%]
tests/test_wizard_clone.py::TestCloneCountry::test_generic_exception_returns_failed_progress_0 PASSED [ 76%]
tests/test_wizard_clone.py::TestCloneCountry::test_missing_id_in_clone_response_returns_failed_progress_50 PASSED [ 77%]
tests/test_wizard_clone.py::TestCloneCountry::test_non_int_id_in_clone_response_returns_failed_progress_50 PASSED [ 77%]
tests/test_wizard_clone.py::TestCloneCountry::test_negative_id_in_clone_response_returns_failed_progress_50 PASSED [ 78%]
tests/test_wizard_clone.py::TestOrchestratorCloneEvents::test_happy_batch_returns_cloned_events_no_rollback PASSED [ 78%]
tests/test_wizard_clone.py::TestOrchestratorCloneEvents::test_mid_list_failure_triggers_rollback PASSED [ 79%]
tests/test_wizard_clone.py::TestOrchestratorCloneEvents::test_no_rollback_when_every_spec_succeeds PASSED [ 79%]
tests/test_wizard_clone.py::TestOrchestratorCloneEvents::test_rollback_tolerates_delete_inbound_failure PASSED [ 80%]
tests/test_wizard_clone.py::TestOrchestratorCloneEvents::test_empty_specs_returns_empty_lists PASSED [ 80%]
tests/test_wizard_clone.py::TestCloneEndpoint::test_clone_happy_stream_advances_to_done_and_flips_wizard_completed PASSED [ 81%]
tests/test_wizard_clone.py::TestCloneEndpoint::test_clone_persists_clonerecord_rows PASSED [ 81%]
tests/test_wizard_clone.py::TestCloneEndpoint::test_clone_mid_failure_emits_rolled_back_and_leaves_step_at_clone PASSED [ 82%]
tests/test_wizard_clone.py::TestCloneEndpoint::test_clone_out_of_order_returns_409 PASSED [ 82%]
tests/test_wizard_clone.py::TestCloneEndpoint::test_clone_missing_template_returns_409 PASSED [ 83%]
tests/test_wizard_clone.py::TestCloneEndpoint::test_clone_no_port_assignments_returns_409 PASSED [ 83%]
tests/test_wizard_clone.py::TestCloneEndpoint::test_clone_no_cached_xui_creds_returns_409 PASSED [ 84%]
tests/test_wizard_clone.py::TestCloneEndpoint::test_clone_unauthenticated_returns_401 PASSED [ 84%]
tests/test_wizard_clone.py::TestXuiDetect::test_xui_detect_advances_to_xui_creds_with_no_3xui_present PASSED [ 85%]
tests/test_wizard_clone.py::TestXuiDetect::test_xui_detect_out_of_order_returns_409 PASSED [ 85%]
tests/test_wizard_clone.py::TestXuiDetect::test_xui_detect_unauthenticated_returns_401 PASSED [ 86%]
tests/test_wizard_xui.py::TestXuiCreds::test_happy_login_advances_wizard_and_caches_creds PASSED [ 86%]
tests/test_wizard_xui.py::TestXuiCreds::test_login_failure_xui_client_error_returns_400 PASSED [ 87%]
tests/test_wizard_xui.py::TestXuiCreds::test_unreachable_returns_502 PASSED [ 87%]
tests/test_wizard_xui.py::TestXuiCreds::test_state_machine_409_when_on_wrong_step PASSED [ 88%]
tests/test_wizard_xui.py::TestXuiCreds::test_unauthenticated_returns_401 PASSED [ 88%]
tests/test_wizard_xui.py::TestXuiCreds::test_missing_field_returns_422 PASSED [ 89%]
tests/test_wizard_xui.py::TestInbounds::test_happy_returns_simplified_projection PASSED [ 89%]
tests/test_wizard_xui.py::TestInbounds::test_no_cached_creds_returns_409 PASSED [ 90%]
tests/test_wizard_xui.py::TestInbounds::test_wizard_on_step_before_xui_creds_returns_409 PASSED [ 90%]
tests/test_wizard_xui.py::TestInbounds::test_list_inbounds_failure_returns_502 PASSED [ 91%]
tests/test_wizard_xui.py::TestInbounds::test_unauthenticated_returns_401 PASSED [ 91%]
tests/test_wizard_xui.py::TestCloneTemplate::test_happy_advances_wizard_to_clone_and_stores_template_id PASSED [ 92%]
tests/test_wizard_xui.py::TestCloneTemplate::test_state_machine_409_when_on_wrong_step PASSED [ 92%]
tests/test_wizard_xui.py::TestCloneTemplate::test_invalid_template_id_returns_422 PASSED [ 93%]
tests/test_wizard_xui.py::TestCloneTemplate::test_missing_field_returns_422 PASSED [ 93%]
tests/test_wizard_xui.py::TestCloneTemplate::test_unauthenticated_returns_401 PASSED [ 94%]
tests/test_xui_client.py::test_clone_remark_format PASSED                [ 94%]
tests/test_xui_client.py::test_socks_outbound_shape PASSED               [ 95%]
tests/test_xui_client.py::test_fresh_vless_client_is_unique_and_well_formed PASSED [ 95%]
tests/test_xui_client.py::test_build_clone_payload_vless_perserves_template_streamsettings PASSED [ 96%]
tests/test_xui_client.py::test_build_clone_payload_rejects_non_vless PASSED [ 96%]
tests/test_xui_client.py::test_login_extracts_csrf_and_sets_cookie PASSED [ 97%]
tests/test_xui_client.py::test_login_failure_raises PASSED               [ 97%]
tests/test_xui_client.py::test_list_inbound_summaries PASSED             [ 98%]
tests/test_xui_client.py::test_clone_inbound_posts_bare_json_with_csrf_and_stream_outbound PASSED [ 98%]
tests/test_xui_client.py::test_clone_inbound_rollback_on_api_failure PASSED [ 99%]
tests/test_xui_client.py::test_delete_inbound PASSED                     [ 99%]
tests/test_xui_client.py::test_base_url_normalisation_strips_panel_suffix PASSED [100%]

======================= 200 passed in 102.26s (0:01:42) =======================
